All statistics are based on contigs of size >= 1000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50    N75    L50  L75  # N's per 100 kbp
minia.k51    2054                 44                      9                       2                        0                        0                        586585                  141899                     77500                      29114                       0                           0                           44         17630           141899        42.81   5673   2137   8    19   0.00             
minia.k61    2186                 42                      8                       1                        0                        0                        594106                  129610                     66298                      16413                       0                           0                           42         16413           129610        42.41   5458   2389   8    18   0.00             
abyss.k51    18108                81                      8                       4                        1                        0                        2307509                 249313                     124995                     93990                       46112                       0                           81         46112           249313        50.11   6730   1677   8    33   85.03            
abyss.k81    6366                 73                      14                      7                        0                        0                        1461299                 246705                     134241                     86822                       0                           0                           73         15648           246705        49.56   5656   2074   13   31   336.43           
abyss.m.k51  18086                89                      8                       4                        1                        0                        2312344                 258854                     124811                     93990                       46112                       0                           89         46112           258854        49.73   3967   1565   10   38   136.76           
abyss.m.k81  6408                 71                      13                      7                        0                        0                        1479125                 249101                     134512                     91090                       0                           0                           71         17131           249101        49.82   6422   2617   12   28   291.45           
platanus     276                  8                       5                       4                        0                        0                        133216                  82503                      75524                      67740                       0                           0                           8          24256           82503         42.16   17327  12085  2    4    418.17           
spades       1457                 214                     42                      13                       2                        1                        1245971                 854088                     460966                     263219                      117893                      92501                       214        92501           854088        44.30   5684   2908   36   88   126.10           
spades-ec    1070                 206                     42                      12                       2                        1                        1095246                 832581                     449679                     250544                      118036                      92501                       206        92501           832581        44.32   5607   3024   36   86   97.65            
