All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N75    L50  L75   # N's per 100 kbp
minia.41.contigs             888                  313                     201                     136                      54                       16                       4564474                 4484149                    4214660                    3725696                     2430031                     1065158                     341        100874          4504164       50.68   28488   13473  48   107   0.00             
minia.51.contigs             724                  292                     183                     130                      62                       18                       4558516                 4471615                    4201513                    3785967                     2695571                     1114791                     327        99443           4496680       50.65   30995   15178  47   98    0.00             
minia.61.contigs             931                  400                     228                     146                      46                       10                       4553573                 4424233                    3979463                    3376138                     1821059                     633450                      450        78382           4459996       50.58   20114   10528  65   143   0.00             
minia.71.contigs             1661                 688                     265                     125                      15                       0                        4521292                 4226318                    3133008                    2130989                     471421                      0                           832        45384           4332234       50.37   9861    4599   129  290   0.00             
minia.81.contigs             4767                 1297                    63                      5                        0                        0                        4273414                 2947804                    426729                     54854                       0                           0                           2154       12586           3567933       49.48   2117    1249   501  1054  0.00             
abyss.51_abyss_scaffolds     167                  79                      63                      55                       48                       33                       4611280                 4595508                    4548675                    4490371                     4393603                     3894249                     87         229198          4600961       50.71   129115  63934  13   26    36.60            
abyss.61_abyss_scaffolds     165                  84                      71                      61                       53                       37                       4615062                 4597442                    4560497                    4490202                     4380950                     3839643                     94         222915          4604405       50.70   101160  59897  16   31    33.79            
abyss.71_abyss_scaffolds     181                  96                      78                      68                       56                       37                       4610264                 4588955                    4539272                    4473870                     4299316                     3660051                     107        222917          4597213       50.69   95047   55998  17   34    67.00            
spades-default_scaffolds     139                  78                      55                      52                       48                       33                       4561803                 4548362                    4495473                    4471855                     4408285                     3878741                     87         223984          4554040       50.73   130539  60768  14   26    14.49            
spades-ec-default_scaffolds  141                  77                      54                      51                       46                       31                       4561603                 4547059                    4494344                    4470726                     4394517                     3864905                     87         221505          4553282       50.73   132618  67330  13   24    14.58            
platanus_gapClosed           123                  79                      65                      59                       53                       34                       4550373                 4535051                    4502467                    4452380                     4370575                     3717951                     91         221520          4543359       50.68   107647  57816  14   29    94.25            
